Product_Review,predicted_gpt35
"Rating: 5, Comments: Product is good but service from snapdeal is very outstanding",positive
"Rating: 4, Comments: Snap deal service and delivery was very good, good the product delivery before expected delivery, the BP machine is very good.",positive
"Rating: 4, Comments: its a good machine//////",positive
"Rating: 5, Comments: It is a good product within this price ,i bought one ,since then it is all o k .",positive
"Rating: 4, Comments: Good product",positive
"Rating: 5, Comments: Best Service snapdeal",positive
"Rating: 5, Comments: Measured accurate in my first 10 trail.",positive
"Rating: 5, Comments: This is the very good product from snapdeal",positive
"Rating: 5, Comments: Reading+/-5mmhg which is fine
Nicely packed",positive
"Rating: 5, Comments: very simple to handle.  worth for your money.",positive
"Rating: 5, Comments: The device is genuine and the product delivery was before time",positive
"Rating: 3, Comments: Good buy!!!!!!",positive
"Rating: 4, Comments: BP measurement is very easy and reading is almost accurate and consistant in quality of the product. However battery drainage is a space where attention is needed. And arm movement during measurement leads to error in reading the BP result for which not always stand alone BP machine for Hospital use where patient is restless or unattentive.
Otherwise very nice product for home use.",positive
"Rating: 4, Comments: Delivered in time...",positive
"Rating: 5, Comments: It is one of the best to check bp at very low price and I suggest u to buy it",positive
"Rating: 5, Comments: Works good and accurate till now,perfect delivery",positive
"Rating: 4, Comments: monitoring is varying +10 to -10. but machine is good. u can monitor 2 to 4 times then u can take average of that..",negative
"Rating: 5, Comments: Awesome price and perfectly delivered in pristine condition. The product is too good",positive
"Rating: 1, Comments: This product is not good product quality is so bad....",negative
"Rating: 5, Comments: gr8 deals on snapdeal always love to purchase from snapdeal n recommends to my frens also",positive
"Rating: 1, Comments: Wrong reading displayed",negative
"Rating: 4, Comments: Many review has been written about malfunction, but to make this machine works correctly make sure not to keep band very tight.",negative
"Rating: 5, Comments: I like this product because accurate reading",positive
"Rating: 5, Comments: its a perfect product to have at home if someone in the family has a bp problem.",positive
"Rating: 5, Comments: till now tried 100 times , half battery gone.  pretty good .",positive
"Rating: 5, Comments: VERY VERY HAPPY AND SEND VERY QUICKLY",positive
"Rating: 5, Comments: im happy to recieve a good product from snapdeal.thanx",positive
"Rating: 5, Comments: It is very useful.",positive
"Rating: 5, Comments: Nice Product.",positive
"Rating: 5, Comments: Excellent product",positive
"Rating: 5, Comments: Prompt Delivery",positive
"Rating: 5, Comments: Result nearly perfect",positive
"Rating: 4, Comments: If any one wants to buy thiss product.he or she can buy it on mybehalf..i bought it last weeek..im with ths product n is having good price on snapdeal..luv u snapdeal",positive
"Rating: 5, Comments: Fantastic thanks for your service",positive
"Rating: 5, Comments: Very good product.",positive
"Rating: 5, Comments: Good product",positive
"Rating: 5, Comments: A very good product.",positive
"Rating: 5, Comments: thankyou snapdeel",positive
"Rating: 5, Comments: This is an apt device for old aged persons  to keep continuous monitoring of BP, reliable and good",positive
"Rating: 5, Comments: a good product in a good price, very nice looks i recommend to every one to buy this product.",positive
"Rating: 5, Comments: Always prefer sd",positive
"Rating: 4, Comments: Readings are always mismatch with doctor's mercury based equipment.",negative
"Rating: 5, Comments: Gud product in this price",positive
"Rating: 5, Comments: Easy to use, quality product at best price. Happy to shop through snapdeal.",positive
"Rating: 5, Comments: You can purchase this",positive
"Rating: 3, Comments: The reading shown varies 20-30 units of bp at very next check of same person!
It's not at all recommendable for BP patients forget about its daily use by doctors.",negative
"Rating: 5, Comments: I have purchased  for my parents nice products.",positive
"Rating: 5, Comments: Product as shown, delivery lightening fast and prices the best across sites. All of these have made this purchase a geeat experience.",positive
"Rating: 5, Comments: its very nice product i relay like it",positive
"Rating: 4, Comments: good product..timely delivery and nicely packed...",positive
"Rating: 5, Comments: A great product from snapdeal",positive
"Rating: 4, Comments: Very useful item, no need to go to doctor every time. Parents can check it themselves..",positive
"Rating: 5, Comments: Fine and accurate measure but battery are week. Go for it",negative
"Rating: 5, Comments: Great quality full satisfaction",positive
"Rating: 5, Comments: Good .... keep it up... snapdeal",positive
"Rating: 4, Comments: 👍 good product",positive
"Rating: 5, Comments: Very good yar",positive
"Rating: 4, Comments: Product packaging and delivery was great.
Working as expected.",positive
"Rating: 1, Comments: 1 star  not working",negative
"Rating: 4, Comments: Do not rely too much. It is also better to ask the doctor. The device worked alright for my husband and fil but showed ridiculous readings for me that I got freaked out. I had to calm myself and later found that cuff was maybe too large for me. I am a small person. The device was neatly packed and sent but the courier sucks. They delayed delivery.",negative
"Rating: 5, Comments: Got it next day of order in a good condition.. Easy to use product.. So far no problem.. A good apparatus for such a low price",positive
"Rating: 4, Comments: Very Handy item. Easy to use.",positive
"Rating: 4, Comments: Its a good product and nice packing.",positive
"Rating: 5, Comments: I compared that with manual one, it just shown variation with upper level. So, i made calculation and getting value exactly to that doctor's apparatus.",positive
"Rating: 5, Comments: Awesome machine but no rechargeable battery",negative
"Rating: 5, Comments: Excellent product at a superb price. Will definitely recommend the same to all",positive
"Rating: 5, Comments: i realy like this bp monitor and ...
their are many features about our checkup",positive
"Rating: 5, Comments: Hi, overall very good product & Snapdeal delivered the product on time. Thanks to the team. 
Giridhar",positive
"Rating: 5, Comments: Guys you can go for it through Snap Deal....",positive
"Rating: 5, Comments: GOOD PRODUCT",positive
"Rating: 4, Comments: Easy usage and consistent reading",positive
"Rating: 5, Comments: I have been shopping online for more than 5 years now.I must congratulate snapdeal fast delivery which is even better than other online shopping sites.As for as Product is concerned Omeron BP Monitor is very accurate and precise",positive
"Rating: 4, Comments: Good for high bp. Consistent reading",positive
"Rating: 4, Comments: good product for senior members in your house...",positive
"Rating: 5, Comments: I purchased this for Nani and great thing is that she started using herself without any help I just guided him over phone. 
Snapdeal delivery and price is awesome.",positive
"Rating: 3, Comments: Good but have to check twice or thrice for accurate reading.",negative
"Rating: 5, Comments: its just good bp monitor to be used in home and travel",positive
"Rating: 5, Comments: Readings are accurate and appear quickly, and at a very affordable price, too. Well done, Omron!",positive
"Rating: 5, Comments: Nice product just a packing was an issue but the product was intact though the packing was poor.",negative
"Rating: 4, Comments: Gud product but variation in reading",negative
"Rating: 5, Comments: VERY GOOD..... AND WORTH",positive
"Rating: 5, Comments: Good convenient easy to use",positive
"Rating: 5, Comments: Excellent product, ideal for home use.. Very easy to use. You cannot go wrong buying this..",positive
"Rating: 5, Comments: snapdeal rocks.",positive
"Rating: 5, Comments: It is found okay.",positive
"Rating: 5, Comments: recommended",positive
"Rating: 4, Comments: Delivery ontime. Packaging was good. Product is at its best condition. Easy to handle.",positive
"Rating: 4, Comments: Nice product for checking near about exact value.",positive
"Rating: 5, Comments: A very good product must buy",positive
"Rating: 4, Comments: this very easy to use and have great  utility .",positive
"Rating: 4, Comments: Gives accuracy between plus, minus five, a BP monitor is a must have in todays busy schedule and this one fits in budgets perfectly. Same day delivery by snapdeal was just awesome.",positive
"Rating: 4, Comments: Good quality product. Easy to use and carry.
A must have for all people suffering from high blood pressure.",positive
"Rating: 5, Comments: Nice product . Nice Price . A must buy in this age of health uncertainties .",positive
"Rating: 5, Comments: Really good product and value for mony.................",positive
"Rating: 4, Comments: Nice product... Accurate too... 3 consecutive readings gave almost same readings..
Delivery was quick too...",positive
"Rating: 4, Comments: GOOD B.P. MACHINE ,ACCURACY +/- 10, BATTERY GOOD BUT NO MEMORY BACKUP AT LAST GOOD PRODUCT.",positive
"Rating: 4, Comments: Good product as per price you spending. Helpful too",positive
"Rating: 5, Comments: This is very good product.i am very satisfied of that product",positive
"Rating: 5, Comments: this is one of the best product for your household .",positive
"Rating: 5, Comments: I was keeping tap on this for few weeks and compared price here and there. But lastly as always I found best deal on SD site only.",positive
"Rating: 5, Comments: If looking for B.P monitors then You can blindly go for this product. Very good and genuine product. Working very fine. Moreover Thanks to Snap deal for Providing this product at this price.",positive
"Rating: 4, Comments: First time i am using this type of Blood pressure monitor, and working OK for my mom. Tested with Mercury monitor, and this product, values are near about same. Good that i can now test my  pressure myself.",positive
"Rating: 4, Comments: Nice product .aft using 1 wk .there is no faults found...bt I takes 10 days to reach me...",positive
"Rating: 5, Comments: Good product and great service from SNAPDEAL",positive
"Rating: 4, Comments: It us very good  product,simple  and  reliable.",positive
"Rating: 3, Comments: Not bad received product in good condition for snap deal i wil rate five stars",positive
"Rating: 4, Comments: Good product for avarage people. ..
Price is good fof all types of customer. . Poor people can also buy and use the modern technology. .",positive
"Rating: 4, Comments: Was initial skeptical about the accuracy of digital BP machines. But after using it, I can say its fairly accurate and easy to use. Get almost similar readings on repeated monitoring. Overall, good product. Quick delivery as well by Snapdeal.",positive
"Rating: 5, Comments: product is value for money and you source the best. product gives accurate results.",positive
"Rating: 5, Comments: After I bought the gluco meter, I bought omron bp instrument. Like past excellent delivery timing as if  instant service from Snapdeal, made me happy on my decision to opt it from Snapdeal. An useful product,",positive
"Rating: 5, Comments: Omron Hem-7120 Blood Presure Monitoring and I will have to be able perfect reading",positive
"Rating: 5, Comments: Great product... Very Easy to use... Go for it.",positive
"Rating: 5, Comments: working absolutely fine and the delivery by snapdeal is in time with good packing.",positive
"Rating: 5, Comments: Goods received in excellent  packing condition . Quality of deliverance superb , reached me prior to expected delivery date .will recommend it to my friends",positive
"Rating: 5, Comments: Please kept this everyone in house it is very useful in emergency",positive
"Rating: 5, Comments: Perfect packing and delivery by snapdeal...",positive
"Rating: 5, Comments: Very good and perfect product produce by snap deal, easy to use and very useful for patient having regular monitoring the pressure, and help to reduce the chances of emergency",positive
"Rating: 4, Comments: It's a very good product. Happy to have it.",positive
"Rating: 4, Comments: Almost gives corect reading. A product worth buying",positive
"Rating: 5, Comments: Good Product with Good Service, deliver before time then expected, great packing and good product with good results",positive
"Rating: 4, Comments: I liked this product worth for money. You get what you pay for and Snapdeal is at best price for this model. I checked outside it cost higher than what we get here.

Only my concern is with the upper arm calf, it is medium size which is not comfortable in size for me. I wish we could have got Large size or option to buy separately. 

Please do come with Combo offers adding adopters and large size upper arm calf.",positive
"Rating: 5, Comments: I bought this BP Machine for my folks a couple of months back,  but before that,  I purchased 5 nos. of the same model HEM7120, for my friends and relatives through my Snapdeal Account every time with the lowest of price as compared to other sibling online shoppe.
Excellent product of Omron supported by prompt delivery service by Snapdeal.",positive
"Rating: 5, Comments: I'm highly satisfied with the product as it gives very precise results when tried at the same condition many a times. A good deal indeed!",positive
"Rating: 5, Comments: very nice product..working nicely....thanks snapdeal for giving this product on a reasonable price...",positive
"Rating: 4, Comments: Although its giving different readings every-time even within a minute if you will check your BP but still there is slight variation that can atleast tell your whether your BP is high, low or normal. You can't compare this with manual machine that generally medical practitioners use which gives perfect reading but its good for measuring it at home.",positive
"Rating: 4, Comments: All good but in box A.C. adapter was missing. Digital machine is working excellent but when checked for a.c.adapter it was not there in box which is must in emergency.",negative
"Rating: 4, Comments: product is very good & best, very handy in use and also snapdeal provide the best deal on the product...",positive
"Rating: 4, Comments: good product as per the price. Some fluctuation in reading. Bt overall good product.
i am happy with it.",positive
"Rating: 5, Comments: Thank you snapdeal for in time delivery.

Also happy with the product. Light weight and portable.

Please take readings in gap of 3-4 min to get accurate readings.",positive
"Rating: 4, Comments: Good one for primary checkup .Better if the product have  power cable .package have only battery. go for it",positive
"Rating: 5, Comments: AC adapter is not there in this. Still works nice on battery.  Using the product is very easy. AC adapter needs to be purchased.",negative
"Rating: 3, Comments: Using the product for the first time after shopping online, can give more update after using it, till now it looks ok.",positive
"Rating: 5, Comments: The Omron Hem-7120 Blood Pressure Monitor is a excellent product, and backed with the Snap deal 7 days return offer. I had complete piece of mind, that should there be any issue with the product I could contact Snap deal. Using Snapdeal, made the process of choosing the right product and with a attractive price so easy.",positive
"Rating: 5, Comments: This product is really great, To check B.P. of mum now I dont hv to run to doctor again n again, I can check it myself at home, it is so easy to use, anyone can understand it very easily, only the problem is with a battery, wish it would have come wih adapter. Overall the product is very good for parents who needs regular B.P. check up, Thank you snapdeal for the price.",positive
"Rating: 5, Comments: My mother is happy in new BP machine. Mene apne colony me sabhi ko suggest kiya aur bhut logo ne order bhi kiya.... But COD available na hone k karan kuch logo ne order ni kr paye ....  Phir mene order krke sabhi ko diya. Thanks snapdeal team",positive
"Rating: 5, Comments: Its best product .i have bought for my mother.people who has bp problem must buy it for their family.
Its working prfectly.",positive
"Rating: 5, Comments: nice product, good quality, timely delivered... best shopping website i came across...will definitely shop from dis website in future and also recommend to my friends",positive
"Rating: 4, Comments: 1st of all ,as always..snapdeal packaging was too good.I received the product quiet soon,within 2 days of ordering to be pricise..so thnx for that snap..now coming to the product,its really easy to operate,even for my elderly parents,readings are not totally accurate as i have noticed  but yet close.Best for day to day use in case u require it that often.",positive
"Rating: 4, Comments: It's very good. It is awesome product for home use. I recommend this product for Home use. Easy handling. no issues. Showing accurate value with Analog monitor which doctor have. Thanks to snapdeal for ontime delivery and good packing",positive
"Rating: 5, Comments: Very easy and best health monitoring device, simple and good system to use.
At older age timely monitoring of BP is very important, I presented this to my father, hes very happy for both being user friendly and to timely record his and my mothers blood pleasure.",positive
"Rating: 5, Comments: Now a days everybody should have this device.. I have using this model with more than 1 year.. This one is for my In Laws house..",positive
"Rating: 5, Comments: RECEIVED IT GOOD CONDITION. WORKING PROPERLY NOW.VERY GOOD SUPPLIER.SUPPLLIED IT  GOOD PAKED.IT IS VERY USEFUL TO EVERYBODY.
PREVENTION IS BETTER THEN CURE",positive
"Rating: 5, Comments: Got best price on snapdeal.
After visiting various application, I found this product at lowest price. Product is genuine.",positive
"Rating: 4, Comments: Thanks to Snapdeal it got it in 2 days. For regular user it is very handy product.Anybody can use it without any hassle. At this rate you cannot expect very high end product. Yes it serves the basic need to checking BP and pulse rate. It also saves last reading. Do not know about its accuracy, which even high end product do not guarantee. Yes it will be near around  the actual, serves the basic info at home.

Cons: 
- Display fonts are large even old people can see it.
- Saves Last memory. Need to hold the start button for15 seconds
- Error indicators. Type of errors mentioned in user manual.
-Affordable price even if works for a year its paisa wasool !",positive
"Rating: 4, Comments: The B.P Counting machine is working great. It is very easy to maintain and very easy to use.


 I am also very happy with the logistics of snapdeal, they have delivered the product before they promised.",positive
"Rating: 5, Comments: Its the perfect product i was looking out for and ratings helped me make an choice.
Delivery and packing was fine, warranty of product was missing in pack.",positive
"Rating: 3, Comments: It does the job and ratings are also good. I hope the readings are accurate since this is the most well rated product across the sites",positive
"Rating: 4, Comments: Delivery good without any damage. Thanks to snapdeal. The product is useful,kept in my house. I recommend to buy there is no doubt.",positive
"Rating: 5, Comments: I choosethis b.p. apparatus for my family specially  for my mother
Amaron b.p. matchine are one of the best in this price n give more acurate result which alarm your body related health issue.....so me and my family are happy with this product
Also delivery of product by snapdeal is very fast",positive
"Rating: 5, Comments: If you looking for B P monitor this is d best go for it blindly ,cheapest among all online shopiing.Service from SD is also good.",positive
"Rating: 4, Comments: Amazing deal by snapdeal. I got it a good price as compared to market. Snapdeal is awesomeee",positive
"Rating: 5, Comments: Good quality super item   fast dilvery. happy  thank to sanpdeal,",positive
"Rating: 5, Comments: AT A TIME,  SIDE BY SIDE COMPARED WITH TRADITIONAL SPHIGMO MANOMETER AND FOUND 98% SAME READING. VERY EASY TO OPERATE. NO NEED OF STETHOSCOPE AND AIR PUMP. RECOMENDING.",positive
"Rating: 5, Comments: Good product. Useful and perfect.prompt delivery.",positive
"Rating: 5, Comments: The quality of the BP monitor was very good and it is super easy to use. Thank you.",positive
"Rating: 4, Comments: This product is very good. And sd u guys rock i gt the product before promised date..",positive
"Rating: 5, Comments: I am glad that i am having this machine ... it is giving correct details about our BP measurements",positive
"Rating: 5, Comments: I bought this machine second time, and working of machine is great",positive
"Rating: 5, Comments: delivery time is correct and it gives very accurate reading 
my pressure is good
pluse is good",positive
"Rating: 5, Comments: Yes this is fundustic. I love this product he is great.I rerecommended to all of you.",positive
"Rating: 5, Comments: Very Fast deliver and it's very Good Product",positive
"Rating: 4, Comments: I purchased Omron Hem-7120 Blood Pressure Monitor. Its useful at home but the measurement is little bit different from manual.",negative
"Rating: 5, Comments: Its a realy good product from omron ...i rely like it ..and its shown right bp.",positive
"Rating: 5, Comments: Omron Hem-7120 Blood Pressure Monitor is a budget BP monitor & it shows almost same reading when I compared it with a conventional manual BP monitor.  In a conventional manual BP monitor I found that my BP is 72(dia) - 115(sys). And in Omron Hem-7120 Blood Pressure Monitor I found it 75(dia) - 115(sys).",positive
"Rating: 5, Comments: the product is working fine. i am satisfied with your product . thank u",positive
"Rating: 5, Comments: Good product got at a Low price snapdeal :) :)",positive
"Rating: 4, Comments: Good product but taking too much time to deliver",negative
"Rating: 5, Comments: Good product. Go for it.price is also good.",positive
"Rating: 5, Comments: good product and excellent service  . snap deal peoples very good responsible done job",positive
"Rating: 5, Comments: Awesome quality 
Same as shown in pic
Original one
Loved it and use it daily",positive
"Rating: 5, Comments: good for checking bp and is helpful in my daily life",positive
"Rating: 5, Comments: I am 51 years old and is suffering from Hyper-tension. My Doctor advised me to take the B.P. readings twice daily and to prepare a chart. Going nearest nursing home in the morning & evening and taking the B.P. readings was another tension to me. Then I decided to purchase a digital B.P. Checker and found Omron HEM-7120 model is best suited for me. I immediately ordered it through Snapdeal. It reached me within 3 days. The price is very reasonable, quality is SUPERB, and very easy to use.  I honestly recommend this product to every one that having B.P. problems. Omron HEM-7120 Digital B.P. monitor is a best Life Companion. I love it.",positive
"Rating: 4, Comments: Nice product easy too use and cost is also low",positive
"Rating: 4, Comments: Well it was very good working item simply easy to use small in size i sastisfied",positive
"Rating: 5, Comments: Good product at a reasonable price and user friendly. Worth buying this",positive
"Rating: 5, Comments: Initially I had an apprehension about the condition of the product delivered. However On line buying dispelled the above apprehension.It resulted in  saving on transport and time to visit the show room. It was happy shopping from the comforts of home",positive
"Rating: 5, Comments: Very nice product...good working condition... Fast delivery",positive
"Rating: 4, Comments: I would say talisman for every household.very essential in todays world where stress makes you hypertensive",positive
"Rating: 5, Comments: I would like to say, the products I bought till now from snapdeal

received on time delivery.

good quality products.

I will remain forever the customer of snapdel and recommend my friend to buy only through snapdeal.


JAI HO.",positive
"Rating: 5, Comments: i am an high blood pressure patient. this device is what i wanted . in this price range its fab, i have doctors in my family they highly recommend it. go for it without having any doubts. its from OMRON brand. it is really what you are looking for. it does best job for me on daily basis.",positive
"Rating: 5, Comments: For people who have blood pressure & have to go for regularly check-up , this is the one time investment. the product is fully automatic, easy to use , quick, accurate and reliable results, easy to kept, easy to carry, not so heavy very light weight.
I got my order right on time and the product was also perfect. My experience with snapdeal is good. I would like to refer this product to my friends and family members.",positive
"Rating: 4, Comments: its USP is easy to use for everyone.  Even my mom can use this without my help..",positive
"Rating: 3, Comments: There is a difference between this monitor reading and manual mercury b p monitor readings.
its readings are just indicators there . there can be difference from 10 to 15 units between this monitor and actual b p.",negative
"Rating: 5, Comments: Very nice and easy to use, good quality product",positive
"Rating: 5, Comments: Best use for home purpose. It's a very good BP apparatus for domestic use for those people who are technically not trained to measure the BP of a patient, by practice a lay man can measure near about correct BP at home.",positive
"Rating: 5, Comments: BEST USE FOR MEDICAL .DSF.SD F.SDF. SD.FS",positive
"Rating: 4, Comments: Great and easy to use.
Would have been nice to have a memory function.",positive
"Rating: 5, Comments: Yes Its Good . No any Issues in quality wise and Its working good . It shows near results after checking 3 to 4 times . So I received this exactly same model HEM 7120 and IN PACKAGE there is Machine with armcuffs , 4 AA BATTERIES . It also has an ADAPTOR Port but you have to purchased separately if you want . Thanks to SnapDeal ...",positive
"Rating: 5, Comments: good and handy product. timely delivery is the key element. good product to keep watch on blood pressure",positive
"Rating: 5, Comments: For people who have blood pressure problems and have to go regularly for check-up , this is your one time investment. Fully automatic, easy to use , quick, accurate and reliable results. Thumb's up to this product !",positive
"Rating: 4, Comments: Nice product. Easy to checking. 4 cells used instead should keep it 2.",negative
"Rating: 4, Comments: Quality Nd accuracy of machine is good..really luv d product..",positive
"Rating: 5, Comments: Service is very good and recd goods in good 
condion  and on time",positive
"Rating: 5, Comments: I liked the blood pressure machine very much. I found it accurate. I would like to refer this product to my friends and family members.",positive
"Rating: 5, Comments: I wouldnt say that it gives consistent readings. however at this price this can be used as a monitoring tool.",negative
"Rating: 4, Comments: The product was good. But arm cuff was of short length which was not mentioned in description. But overall good. Especially fast delivery . Got it within 30 hours.",positive
"Rating: 4, Comments: Got the product delivered in 24 hours!against 3 day delivery promise!!
Product is good and found useful.",positive
"Rating: 5, Comments: Its a superb product which shows accurate results. Good and cheap device for checking the BP n heart rate at our homes. Dont need to rush the hospital everytime.I would recommend the product to everyone as maintaining our BP is a very essential thing now!!! Go for it people.",positive
"Rating: 5, Comments: This blood pressure measuring apparatus is very convenient and reliable for frequent home users. It is very easy to measure blood pressure. You can easily go ahead and buy it. The battery is quite strong and lasts.",positive
"Rating: 5, Comments: This is excellent BP machine accuracy also very fine compared to other machines",positive
"Rating: 5, Comments: Product delivered was of good quality and it perfectly as mentioned!",positive
"Rating: 5, Comments: Perfect for all. I am recommending it. It is very simple for use. It is lifeline instrument for all generation",positive
"Rating: 5, Comments: Very easy to use n low price.I recommend t. u will not b a loser . also buy a battery charger for convenience...",positive
"Rating: 5, Comments: Its good n very easy to use.  I have searched in several e-commerce websites for this item. But not found in this excellent price. Thank you snapdeal.",positive
"Rating: 5, Comments: Very good product and  perfect item.... why minimum 40 ch?",positive
"Rating: 5, Comments: worth for money,very good and accurate,also preferred by the top doctors.",positive
"Rating: 4, Comments: Good product , but missing direct supply cable.",negative
"Rating: 5, Comments: Excellent monitor for home use and also value for money in this Diwali.",positive
"Rating: 5, Comments: Nice product. It is very easy to use and delivered very safely. Thanks snapdeal.",positive
"Rating: 5, Comments: Really good i am happy,i shown perfect masurment by instrument which i purshed",positive
"Rating: 5, Comments: Working well and Omron is best when comes to BP Monitor. It would have been much better if they have  provided AC adaptor along with the pack. Anyhow, verygood for the price and it worths it. Thanks to Snapdeal for nice deal.",positive
"Rating: 5, Comments: It is working correctly and giving adject value comparison to manual bp checking machine. Good product for watching bp.",positive
"Rating: 5, Comments: the best and the most accurate monitor i ever used. easy to operate good to maintain previous record. very affordable. excellent home health care monitor.",positive
"Rating: 5, Comments: Good Product, fast shipping, packing was good & BP Monitor working good & I can recommend same",positive
"Rating: 5, Comments: Orignal product at a very low price . Good deal",positive
"Rating: 5, Comments: great product with heart beat visible..value for money..snapdeal delivery really appreciated.only drawback is they have to give electric adaptor.",positive
"Rating: 4, Comments: Product is good and very useful and price is also reasonable at Snapdeal.... Delivery is also quick through GoJavas. Thanks to both Snapdeal and GoJavas.
Bp monitor is very easy to use. Just take 2 to 3 reading of your blood pressure for more satisfaction.. As it is a digital meter so never compare it with analog or conventional one. Always there will be some difference.

After all product is trustable and good.",positive
"Rating: 5, Comments: Product quality is good and service also good.Fast and express service",positive
"Rating: 5, Comments: Bought for someone in the family! The person felt very happy when the price was much lower than the market price and also genuine!
Also, This time delivery was superfast! Received the order the very next day!",positive
"Rating: 5, Comments: The product is very good.
Its functioning, handling ,light weight,quality 
Everything is best.
Off course I got the trust of a MNC PHILIPS
The packing is very good.
Also I got the product in bubble wrap
Which is very good.

Snapdeal not only cares for the selling but for the packing,for its customers.

All of the above its a package of happines",positive
"Rating: 5, Comments: This product help us for know my bp any time it is very good product it is always give good reading  of bp and its price are not much",positive
"Rating: 5, Comments: a nice and useful for Blood Pressure patients",positive
"Rating: 4, Comments: Good BP Monitor for home use and guidance to health (indicator!)
Packaging was good.
Delivery on time
Personnel Courteous.",positive
"Rating: 5, Comments: This is very good and easy oprated moniter, use and make healty",positive
"Rating: 5, Comments: Extremely Fast Delivery. Ordered on Saturday and received on Monday. Product as Shown. Offer Coupons were also received in next couple of days. Great Experience!",positive
"Rating: 4, Comments: THis is a good BP intrument. Fast, reliable and easy to perform",positive
"Rating: 5, Comments: It is a nice and quite affordable product.very useful for elderly person. as it is very easy in handling. Rough and tough. But it come with no warrant",positive
"Rating: 5, Comments: should buy that , accurate reading  many more qualities..............",positive
"Rating: 3, Comments: nice one for immediate testing for blood pressure in home......",positive
"Rating: 5, Comments: My parents are very happy  to get this ... so kudos",positive
"Rating: 5, Comments: I had ordered it for my parents but wasn't sure about the quality, i did a check on the background of the company so was confident about the brand but not the product as it very recently introduced and there were not much of much reviews in the  site or in any other site like flipkart or amazon. But after using it for couple weeks i have to say that it works pretty well considering the price i paid. i wasn't sure about the snapdeal's delivery specially after reading about their iphone fiasco but i have admit their new logistic company has definitely put them at par with the likes of flipkart and amazon if not better. overall it was a good experience  for my first purchase at snapdeal , i loved the product and next i shop for a great bargains or deals snapdeal will be on my radar....

looking forward to comeback for more ............................................at less of course  : )",positive
"Rating: 4, Comments: Got the item in good condition and on time. Found good deal compare to other sites.",positive
"Rating: 5, Comments: Nice product, and accurate results and easy to access even the uneducated persons...user friendly product...thanx to snap deal",positive
"Rating: 5, Comments: This product is good,,quality wise its perfect and easy to carry anywhere..",positive
"Rating: 5, Comments: After being diagnosed with type 1 hypertension, I purchased the bp710 Omron BP710 3 Series™ Upper Arm Blood Pressure Monitorto keep track of my daily pressure and to see results of my efforts to avoid medication through life style changes. When I started measuring, the results seemed a bit higher than what doctors measured. It did show me trends though, which was very helpful. To determine its accuracy, I measured my pressure before and after my last heart doctor appointment to compare to the pressure measured by my doctor. The Systolic measurement from the Omron unit was slightly higher than the doctor measurement, while the diastolic measurement was much closer to the doctor measurement. Since then, I have found that with the Omron unit, I have to put on the armband but then sit near motionless while using relax breathing for a few minutes prior to starting the unit. This technique produced results that are much more inline with the doctor measurements. While accurate when doing this, it took experimentation to learn a technique that worked for me. The Omron Bp710 is well worth the investment to know what is and is not working with my life style changes.",positive
"Rating: 5, Comments: got good product in short time hassle free service",positive
"Rating: 4, Comments: product is easy to use and more comfortable also any age group person can use easily.",positive
"Rating: 5, Comments: Great product for home.... There might be some difference in readings like increase or decrease by 5%.. Thts fair.. Every machine is not perfect or accurate.... 
Apart tht it is a great product and I would like to recommend this product",positive
"Rating: 3, Comments: Its an easy to use product and the readings are not much far from actual either. Overall satisfactory",positive
"Rating: 4, Comments: happpy to have a handy medicated product. quite helpful in emergency.",positive
"Rating: 5, Comments: Best one for me and my family track pressure all members.",positive
"Rating: 5, Comments: Very good product. Delivery was satisfactory",positive
"Rating: 5, Comments: Good product value of Money. Fast service from snapdeal",positive
"Rating: 4, Comments: Every thing is good but it's not have facility to store past records as available in other model.",negative
"Rating: 5, Comments: Extremely easy to operate and product of good quality. Reading near accurate and consistent.
Came with batteries which is very good. 6v Adapter support is there but no adapter provided.
Basic model so not able to store the reading for reference, however this is as per the product spec and known before so no issues",positive
"Rating: 5, Comments: It is working fine. Packing & delivery is very good.",positive
"Rating: 4, Comments: Very good product useful for health and day to day life",positive
"Rating: 4, Comments: Gud product to buy to check at your home",positive
"Rating: 5, Comments: Working perfectly for all my family members. Size is so little that it can be carried to anywhere. But not suitable for thin hands like children.",negative
"Rating: 5, Comments: In this site I purchase so many things always I have got original .this hem 7120 is really perfect and it easy to use , I pursue this for my mom and easyly she use it .thank you snapdeal . friends if you want then don't think ,you can buy it .",positive
"Rating: 5, Comments: It is a good product all should keep one of these 
It is very nyc and easy",positive
"Rating: 5, Comments: Nice Delivery within 36 Hour. Delivery boy is also good and well dressed.",positive
"Rating: 4, Comments: Accurate readings constantly. A must have for every household.",positive
"Rating: 5, Comments: small and handy, very good item. thanks to snapdeal timely delivery, item is very good would recommend to every house with BP problems",positive
"Rating: 5, Comments: I got this product within 2 days after placing the order on diwali sale season. Good product. ..nice packing.",positive
"Rating: 5, Comments: Snapdeal love it superb value for money no fake products only genuine thanks to Snapdeal",positive
"Rating: 5, Comments: It helped me very lot for my grand fathers health check up",positive
"Rating: 5, Comments: Good.only no carrying case.otherwise it is perfect.",negative
"Rating: 5, Comments: Seems to be good one.purchased it 1 week back working perfectly",positive
"Rating: 5, Comments: in this price the product did not found in best configaration",negative
